GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inf323-tarefa1,esoft.book.model,Book,3,0,0,0,1,0,1,0,1,0
inf323-tarefa1,esoft.book.model,Subject,244,0,0,0,8,0,1,0,1,0
inf323-tarefa1,esoft.book.model,Backing,54,0,0,0,3,0,1,0,1,0
inf323-tarefa1,esoft.book.model,Author,32,66,0,0,1,21,1,6,1,6
